"RES#","T","Rock unit","C","Comp","Craton","Slat","Slon","LMA","HMA","Isoage","Met","Age references","Age","B","N","P","R%","D","I","alfa95","k","s","S","lambda","Theta","Plat","Plon","dp","dm","A95","1","2","3","4","5","6","AV","Authors","Title","Journal","Year","Vol","Pages","Comments","Recalculation","DOI"
"702","i","Unicoi basalts, Blue Ridge province","US","HT","Appalachians","36.6","278.4","530","550","","s","GPMDB 4.6","540","6","23","M","33","275.8","-16.6","13.8","24.4","16.4","13.5","8.5","98.5","-0.4","178.6","7.3","14.2","10.2","1","0","1","0","1","1","4","Brown, P.M., Van der Voo, R.","Paleomagnetism of the latest Precambrian/Cambrian Unicoi basalts from the Blue Ridge, northeast Tennessee and southwest Virginia: evidence for Taconic deformation","Earth Plan. Sci. Lett.","1982","60","407-414","","0","https://doi.org/10.1016/0012-821X(82)90076-0"
"16402","s","Johnnie formation, Desert Range -R","US","","Laurentia-Yavapai","36.8","244.7","525","555","","s","Bergmann et al. (2011)","540","1","31*","R","100","74.0","8.0","7.0","12.9","22.6","18","4","86","-15.2","161.2","3.6","7.1","5.1","0","1","1","0","1","1","4","Van Alstine, D.R., Gillett, S.L.","Paleomagnetism of Upper Precambrian sedimentary rocks from the Desert Range, Nevada","J. Geophys. Res.","1979","84","4490-4500","Rainstorm Member.","0","https://doi.org/10.1029/JB084iB09p04490"
"10341","i","Alnö complex A -N","SE","A","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","14","88","N","0","99.9","6.1","14.0","9.0","27","21.5","3.1","86.9","-1.8","97.3","7.1","14.1","10","0","1","1","0","1","1","4","Piper, J.D.A.","Magnetic properties of the Alnön Complex","Geol. Fören. Stockholm Förhandlingar","1981","103","9-15","Shallow direction very different from other Fennoscandian directions of this age.","1","https://doi.org/10.1080/11035898109455197"
"10794","s","Marwar (Jodhpur) supergroup","IN","","India-Rajasthan","26.6","72.8","500","750","","foss., s","Davis et al. (2014)","540","7","21","M","81","89.0","-1.0","9.0","14.0","21.6","17.1","0.5","90.5","-1.0","344.0","5.0","9.0","6.7","0","0","1","0","1","1","3","Davis, J.K., Meert, J.G., Pandit, M.K.","Paleomagnetic analysis of the Marwar Supergroup, Rajasthan, India and proposed interbasinal correlations","J. Asian Earth Sci.","2014","91","339-351","Does not correlate with upper Vindhyan","0","https://doi.org/10.1016/j.jseaes.2013.09.027"
"1328","i","Alnö complex","SE","A","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","21","103","M","67","107.2","1.6","9.3","13.0","22.5","17.8","0.8","89.2","-7.6","92.0","4.7","9.3","6.6","0","1","1","0","1","1","4","Piper, J.D.A.","Magnetic properties of the Alnön Complex","Geol. Fören. Stockholm Förhandlingar","1981","103","9-15","Shallow direction very different from other Fennoscandian directions of this age. Included in 10340.","0","https://doi.org/10.1080/11035898109455197"
"164","s","Johnnie formation, Desert Range -C","US","","Laurentia-Yavapai","36.8","244.7","525","555","","s","Bergmann et al. (2011)","540","1","41*","C","75","78.0","1.0","10.0","48.1","11.7","9.2","0.5","89.5","-10.0","162.0","5.0","10.0","7.1","0","1","1","0","1","1","4","Van Alstine, D.R., Gillett, S.L.","Paleomagnetism of Upper Precambrian sedimentary rocks from the Desert Range, Nevada","J. Geophys. Res.","1979","84","4490-4500","Rainstorm Member.","0","https://doi.org/10.1029/JB084iB09p04490"
"10342","i","Alnö complex A -R","SE","A","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","7","46","R","100","291.4","7.0","15.2","17.0","19.6","15.6","3.5","86.5","-12.9","89.3","7.7","15.3","10.9","0","1","1","0","1","1","4","Piper, J.D.A.","Magnetic properties of the Alnön Complex","Geol. Fören. Stockholm Förhandlingar","1981","103","9-15","Shallow direction very different from other Fennoscandian directions of this age.","1","https://doi.org/10.1080/11035898109455197"
"10629","i","Volhyn lavas","UA","C1, C2","Baltica-Ukraine","50.9","26.2","360","580","","c","Elming et al. (2007)","540","2","66","R","100","114.5","-21.8","","","","","11.3","101.3","24.1","283.1","","","","0","0","1","0","1","0","2","Elming, S.-A., Kravchenko, S.N., Layer, P., Rusakov, O.M., Glevasskaya, A.M., Mikhailova, N.P., Bachtadse, V.","Palaeomagnetism and 40Ar/39Ar age determinations of the Ediacaran traps from the southwestern margin of the East European Craton, Ukraine: relevance to the Rodinia break-up","J. Geol. Soc. Lon.","2007","164","969-982","Unclear age, may be even Devonian.","0","https://doi.org/10.1144/0016-76492005-163"
"10066","i","Alnö carbonatite complex","SE","HT","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","6","40","N","0","108.0","10.5","32.1","5.3","35.2","28.2","5.3","84.7","-3.5","89.0","16.5","32.5","23.2","0","0","1","0","1","0","2","Meert, J.G., Walderhaug, H.J., Torsvik, T.H., Hendriks, B.W.H.","Age and paleomagnetic signature of the Alnö carbonatite complex (NE Sweden): Additional controversy for the Neoproterozoic paleoposition of Baltica","Prec. Res.","2007","154","159-174","Shallow inclination, probably younger than isotopic age suggests.","0","https://doi.org/10.1016/j.precamres.2006.12.008"
"10340","i","Alnö complex A -C","SE","A","Baltica-Rest","62.5","17.5","490","590","584 ± 7","a, c","Meert et al. (2007)","540","21","134","C","33","107.2","1.6","9.3","13.0","22.5","17.8","0.8","89.2","-7.6","92.0","5.0","9.0","6.7","0","1","1","0","1","1","4","Piper, J.D.A.","Magnetic properties of the Alnön Complex","Geol. Fören. Stockholm Förhandlingar","1981","103","9-15","Shallow direction very different from other Fennoscandian directions of this age. Supersedes GPMDB entry 1328.","0","https://doi.org/10.1080/11035898109455197"
